genre,theme
German Pop Rock,mélancolique
German Post-hardcore,colère
German Post-punk,colère
German Post-rock,mélancolique
German Power Metal,épique
German Prog,énergique
German Punk,colère
German Punk Rock,colère
German R&b,énergique
German Reggae,relax
German Renaissance,énergique
German Rock,mélancolique
German Rockabilly,mélancolique
German Romanticism,énergique
German Shoegaze,mélancolique
German Show Tunes,énergique
German Singer-songwriter,énergique
German Ska,relax
German Soundtrack,épique
German Stoner Rock,mélancolique
German Street Punk,colère
German Tech House,énergique
German Techno,énergique
German Thrash Metal,colère
German Trance,énergique
German Trap,confiant
German Underground Rap,confiant
German Viral Rap,confiant
German Worship,énergique
Ghanaian Alternative,énergique
Ghanaian Gospel,inspirant
Ghanaian Hip Hop,confiant
Ghanaian Pop,joyeux
Ghanaian Traditional,énergique
Ghazal,énergique
Ghent Indie,mélancolique
Ghettotech,énergique
Ghibli,énergique
Ghoststep,énergique
Girl Group,énergique
Glam Metal,colère
Glam Punk,colère
Glam Rock,mélancolique
Glasgow Indie,mélancolique
Glass,énergique
Glee Club,énergique
Glitch,énergique
Glitch Beats,énergique
Glitch Hop,énergique
Glitch Pop,joyeux
Glitchbreak,énergique
Glitchcore,colère
Glitter Trance,énergique
Gnawa,mystérieux
Go-go,énergique
Goa Psytrance,énergique
Goa Trance,énergique
Gochiusa,énergique
Golden Age Hip Hop,confiant
Gong,énergique
Goralski,énergique
Goregrind,colère
Gospel,inspirant
Gospel Antigas,inspirant
Gospel Blues,triste
Gospel Drill,confiant
Gospel Italiano,inspirant
Gospel Papiamento,inspirant
Gospel R&b,inspirant
Gospel Rap,confiant
Gospel Reggae,relax
Gospel Singers,inspirant
Gospel Soul,sensuel
Gothabilly,énergique
Gothenburg Hip Hop,confiant
Gothenburg Indie,mélancolique
Gothenburg Metal,colère
Gothic Alternative,sombre
Gothic Americana,sombre
Gothic Black Metal,sombre
Gothic Doom,sombre
Gothic Metal,sombre
Gothic Post-punk,sombre
Gothic Rock,sombre
Gothic Symphonic Metal,sombre
Gotico Brasileiro,énergique
Gotlandsk Musik,énergique
Gqom,énergique
Granada Indie,mélancolique
Grand Rapids Indie,mélancolique
Grave Wave,énergique
Graz Indie,mélancolique
Grebo,énergique
Greek Black Metal,sombre
Greek Clarinet,énergique
Greek Contemporary Classical,calme
Greek Downtempo,relax
Greek Drill,confiant
Greek Folk,mélancolique
Greek Guitar,énergique
Greek Hip Hop,confiant
Greek House,énergique
Greek Indie,mélancolique
Greek Indie Rock,mélancolique
Greek Jazz,relax
Greek Metal,colère
Greek Pop,joyeux
Greek Psychedelic Rock,mélancolique
Greek Punk,colère
Greek Rock,mélancolique
Greek Swing,relax
Greek Techno,énergique
Greek Trap,confiant
Greek Underground Rap,confiant
Greenlandic Pop,joyeux
Gregorian Chant,énergique
Gregorian Dance,festif
Grenada Soca,festif
Grim Death Metal,sombre
Grime,sombre
Grime Brasileiro,sombre
Grimewave,énergique
Grindcore,colère
Griot,énergique
Grisly Death Metal,sombre
Groove Gospel,inspirant
Groove Metal,colère
Groove Room,énergique
Grunge,mélancolique
Grunge Argentina,mélancolique
Grunge Brasileiro,mélancolique
Grunge Pop,mélancolique
Grunge Revival,mélancolique
Grungegaze,mélancolique
Grunneger Muziek,énergique
Grupera,énergique
Gruperas Inmortales,énergique
Grupero Romantico,énergique
Guadalajara Indie,mélancolique
Guam Indie,mélancolique
Guaracha,énergique
Guatemalan Indie,mélancolique
Guatemalan Metal,colère
Guatemalan Pop,joyeux
Guggenmusik,énergique
Guidance,énergique
Guided Meditation,calme
Guinean Pop,joyeux
Guitar Case,énergique
Guitarra Andina,énergique
Guitarra Argentina,énergique
Guitarra Clasica,énergique
Guitarra Mexicana,énergique
Guitarra Portuguesa,énergique
Gujarati Garba,énergique
Gujarati Pop,joyeux
Gulf Hip Hop,confiant
Gumbe,énergique
Gundam,énergique
Guqin,énergique
Guyanese Pop,joyeux
Guzheng,énergique
Gwoka,énergique
Gyerekdalok,énergique
Gym Hardstyle,énergique
Gym Phonk,énergique
Gymcore,colère
Gypsy,énergique
Gypsy Fusion,énergique
Gypsy Jazz,relax
Gypsy Punk,colère
H8000,énergique
Haitian Dance,festif
Haitian Gospel,inspirant
Haitian Traditional,énergique
Hakkapop,joyeux
Halftime Dnb,énergique
Halifax Indie,mélancolique
Halloween,énergique
Hamburg Electronic,énergique
Hamburg Hip Hop,confiant
Hamburg Indie,mélancolique
Hamburger Schule,énergique
Hamilton On Indie,mélancolique
Hammered Dulcimer,énergique
Hammond Organ,énergique
Hampton Roads Indie,mélancolique
Handbells,énergique
Handpan,énergique
Hands Up,énergique
Hangoskonyvek,énergique
Hangpan,énergique
Happy Hardcore,joyeux
Hard Alternative,énergique
Hard Bass,énergique
Hard Bop,énergique
Hard Chime,énergique
Hard Dance,festif
Hard Glam,énergique
Hard House,énergique
Hard Minimal Techno,énergique
Hard Motivation,inspirant
Hard Rock,mélancolique
Hard Rock Brasileiro,mélancolique
Hard Rock Mexicano,mélancolique
Hard Stoner Rock,mélancolique
Hard Techno,énergique
Hard Trance,énergique
Hardcore,colère
Hardcore Breaks,colère
Hardcore Hip Hop,colère
Hardcore Punk,colère
Hardcore Punk Español,colère
Hardcore Techno,énergique
Hardingfele,énergique
Hardstyle,énergique
Hardtekk,énergique
Hardvapour,énergique
Hardwave,énergique
Hare Krishna,énergique
Harlem Hip Hop,confiant
Harlem Renaissance,énergique
Harmonica Blues,triste
Harmonica Jazz,relax
Harmonikka,énergique
Harp,énergique
Harpsichord,énergique
Harsh Noise Wall,énergique
Haryanvi Hip Hop,confiant
Haryanvi Pop,joyeux
Hauntology,énergique
Haur Kantak,énergique
Hausa Pop,joyeux
Hawaiian,énergique
Hawaiian Hip Hop,confiant
Hawaiian Indie,mélancolique
Hawaiian Punk,colère
Hazaragi Pop,joyeux
Healing,énergique
Heartland Rock,mélancolique
Heavy Alternative,énergique
Heavy Gothic Rock,sombre
Heavy Psych,énergique
Hel,énergique
Heligonka,énergique
Hengelliset Laulut,énergique
Hi-nrg,énergique
Hi-tech,énergique
High Vibe,énergique
High-tech Minimal,mystérieux
Highlife,festif
Himachali Pop,joyeux
Himalayan Folk,mélancolique
Himene Tarava,énergique
Hindi Hip Hop,confiant
Hindi Indie,mélancolique
Hindi Worship,énergique
Hindustani Classical,calme
Hindustani Instrumental,festif
Hindustani Vocal,festif
Hinos Ccb,énergique
Hip Hop,confiant
Hip Hop Boliviano,confiant
Hip Hop Cubano,confiant
Hip Hop Galsen,confiant
Hip Hop Quebecois,confiant
Hip Hop Tuga,confiant
Hip House,énergique
Hip Pop,joyeux
Hip-hop Experimental,confiant
Hipco,énergique
Hiplife,énergique
Histoire Pour Enfants,énergique
Historic Classical Performance,calme
Historic Orchestral Performance,épique
Historic Piano Performance,calme
Historic String Quartet,énergique
Historical Keyboard,énergique
Historically Informed Performance,énergique
Hjemmesnekk,énergique
Hk-pop,joyeux
Hmong Pop,joyeux
Hoerspiel,énergique
Hokkaido Indie,mélancolique
Hokkien Pop,joyeux
Hollywood,énergique
Hololive,énergique
Honeyworks,énergique
Hong Kong Hip Hop,confiant
Hong Kong Indie,mélancolique
Hong Kong Rock,mélancolique
Hong Kong Tv Drama,énergique
Honky Tonk,énergique
Honky-tonk Piano,calme
Hopebeat,énergique
Horo,énergique
Horror Punk,colère
Horror Punk Brasileiro,colère
Horror Synth,énergique
Horrorcore,colère
Hot Jazz,relax
House,énergique
House Argentino,énergique
Houston Indie,mélancolique
Houston Rap,confiant
Huapango,énergique
Huayno,énergique
Huayno Peruano,énergique
Huayno Popular,joyeux
Hula,énergique
Hull Indie,mélancolique
Humour Français,énergique
Humppa,énergique
Hungarian Black Metal,sombre
Hungarian Choir,énergique
Hungarian Classical Performance,calme
Hungarian Classical Piano,calme
Hungarian Contemporary Classical,calme
Hungarian Edm,énergique
Hungarian Folk,mélancolique
Hungarian Hip Hop,confiant
Hungarian Indie,mélancolique
Hungarian Metal,colère
Hungarian Pop,joyeux
Hungarian Punk,colère
Hungarian Rock,mélancolique
Hungarian Techno,énergique
Hungarian Underground Rap,confiant
Huqin,énergique
Hurdy-gurdy,énergique
Huzunlu Sarkilar,énergique
Hyperpop,joyeux
Hyperpop Brasileiro,joyeux
Hyperpop En Español,joyeux
Hyperpop Français,joyeux
Hyperpop Italiano,joyeux
Hypertrance,énergique
Hyphy,énergique
Hypnosis,énergique
Hypnosis Mic,énergique
Icelandic Black Metal,sombre
Icelandic Choir,énergique
Icelandic Classical,calme
Icelandic Electronic,énergique
Icelandic Experimental,énergique
Icelandic Folk,mélancolique
Icelandic Hip Hop,confiant
Icelandic Indie,mélancolique
Icelandic Jazz,relax
Icelandic Metal,colère
Icelandic Pop,joyeux
Icelandic Post-punk,colère
Icelandic Punk,colère
Icelandic Rock,mélancolique
Icelandic Singer-songwriter,énergique
Icelandic Traditional,énergique
Idaho Hip Hop,confiant
Idaho Indie,mélancolique
Idol,énergique
Idol Game,énergique
Idol Kayo,énergique
Idol Rock,mélancolique
Igbo Pop,joyeux
Igbo Rap,confiant
Igbo Traditional,énergique
Igbo Worship,énergique
Ilahiler,énergique
Illbient,énergique
Ilocano Pop,joyeux
Impressionism,énergique
Indian Ambient,calme
Indian Classical,calme
Indian Edm,énergique
Indian Electronic,énergique
Indian Folk,mélancolique
Indian Fusion,énergique
Indian Indie,mélancolique
Indian Instrumental,énergique
Indian Instrumental Rock,mélancolique
Indian Jazz,relax
Indian Lo-fi,relax
Indian Metal,colère
Indian Percussion,énergique
Indian Rock,mélancolique
Indian Singer-songwriter,énergique
Indian Techno,énergique
Indian Underground Rap,confiant
Indian Violin,énergique
Indiana Hip Hop,confiant
Indiana Indie,mélancolique
Indie Anthem-folk,confiant
Indie Arequipeno,mélancolique
Indie Boliviano,mélancolique
Indie Cafe Pop,relax
Indie Campechano,mélancolique
Indie Canario,mélancolique
Indie Cantabria,mélancolique
Indie Catala,mélancolique
Indie Catracho,mélancolique
Indie Cordoba,mélancolique
Indie Cristao,mélancolique
Indie Curitibano,mélancolique
Indie Deutschrap,mélancolique
Indie Dream Pop,mélancolique
Indie Electronica,mélancolique
Indie Electropop,mélancolique
Indie Emo,triste
Indie Emo Rock,triste
Indie Extremena,mélancolique
Indie Folk,mélancolique
Indie Folk Argentino,mélancolique
Indie Folk Italiano,mélancolique
Indie Fuzzpop,mélancolique
Indie Game Soundtrack,épique
Indie Garage Rock,mélancolique
Indie Hidalguense,mélancolique
Indie Hidrocalido,mélancolique
Indie Hip Hop,mélancolique
Indie Jazz,mélancolique
Indie Liguria,mélancolique
Indie Michoacano,mélancolique
Indie Napoletano,mélancolique
Indie Nica,mélancolique
Indie Nordeste Argentino,mélancolique
Indie Paraense,mélancolique
Indie Platense,mélancolique
Indie Poblano,mélancolique
Indie Pop,mélancolique
Indie Pop Rap,mélancolique
Indie Pop Rock,mélancolique
Indie Poptimism,mélancolique
Indie Psych-pop,mélancolique
Indie Psychedelic Rock,mélancolique
Indie Punk,colère
Indie Quebecois,mélancolique
Indie Queretano,mélancolique
Indie R&b,mélancolique
Indie Rock,mélancolique
Indie Rock Colombiano,mélancolique
Indie Rock Italiano,mélancolique
Indie Rock Mexicano,mélancolique
Indie Rock Peruano,mélancolique
Indie Rockism,mélancolique
Indie Salvadoreno,mélancolique
Indie Shoegaze,mélancolique
Indie Siciliano,mélancolique
Indie Singer-songwriter,mélancolique
Indie Soul,sensuel
Indie Sudcaliforniano,mélancolique
Indie Surf,mélancolique
Indie Tabasqueno,mélancolique
Indie Tico,mélancolique
Indie Triste,mélancolique
Indie Trujillano,mélancolique
Indie Tucumano,mélancolique
Indie Valenciana,mélancolique
Indie Veneto,mélancolique
Indie Viet,mélancolique
Indiecoustica,mélancolique
Indietronica,mélancolique
Indonesian Alternative Rock,mélancolique
Indonesian Bamboo,énergique
Indonesian Black Metal,sombre
Indonesian Blues,triste
Indonesian City Pop,joyeux
Indonesian Death Metal,sombre
Indonesian Deathcore,colère
Indonesian Edm,énergique
Indonesian Electronic,énergique
Indonesian Emo,triste
Indonesian Emo Rap,triste
Indonesian Experimental,énergique
Indonesian Folk,mélancolique
Indonesian Folk Pop,joyeux
Indonesian Hardcore,colère
Indonesian Hip Hop,confiant
Indonesian Idol Pop,joyeux
Indonesian Indie,mélancolique
Indonesian Indie Pop,mélancolique
Indonesian Indie Rock,mélancolique
Indonesian Indigenous,énergique
Indonesian Jazz,relax
Indonesian Lo-fi Pop,relax
Indonesian Metal,colère
Indonesian Neo-psychedelia,énergique
Indonesian Pop,joyeux
Indonesian Pop Punk,colère
Indonesian Pop Rock,mélancolique
Indonesian Post-hardcore,colère
Indonesian Psychedelia,énergique
Indonesian Punk,colère
Indonesian R&b,énergique
Indonesian Reggae,relax
Indonesian Rock,mélancolique
Indonesian Shoegaze,mélancolique
Indonesian Singer-songwriter,énergique
Indonesian Ska,relax
Indonesian Thrash Metal,colère
Indonesian Underground Hip Hop,confiant
Indonesian Viral Pop,joyeux
Indonesian Worship,énergique
Indorock,mélancolique
Industrial,sombre
Industrial Black Metal,sombre
Industrial Hardcore,sombre
Industrial Hip Hop,sombre
Industrial Metal,sombre
Industrial Noise,sombre
Industrial Pop,sombre
Industrial Rock,sombre
Industrial Techno,énergique
Indy Indie,mélancolique
Instrumental Acoustic Guitar,calme
Instrumental Black Metal,sombre
Instrumental Bluegrass,mélancolique
Instrumental Death Metal,sombre
Instrumental Djent,énergique
Instrumental Funk,festif
Instrumental Grime,sombre
Instrumental Hip Hop,confiant
Instrumental Lullaby,relax
Instrumental Math Rock,mélancolique
Instrumental Post-rock,mélancolique
Instrumental Progressive Metal,inspirant
Instrumental Rock,mélancolique
Instrumental Soul,sensuel
Instrumental Stoner Rock,mélancolique
Instrumental Surf,énergique
Instrumental Worship,énergique
Intelligent Dance Music,festif
Inuit Pop,joyeux
Inuit Traditional,énergique
Iowa Hip Hop,confiant
Iowa Indie,mélancolique
Iranian Experimental,énergique
Iranian Metal,colère
Iraqi Hip Hop,confiant
Irish Accordion,énergique
Irish Ballad,mélancolique
Irish Banjo,énergique
Irish Black Metal,sombre
Irish Classical,calme
Irish Contemporary Classical,calme
Irish Country,mélancolique
Irish Dance,festif
Irish Death Metal,sombre
Irish Drill,confiant
Irish Electronic,énergique
Irish Experimental,énergique
Irish Experimental Electronic,énergique
Irish Fiddle,énergique
Irish Flute,énergique
Irish Folk,mélancolique
Irish Gaelic Folk,mélancolique
Irish Hip Hop,confiant
Irish Indie,mélancolique
Irish Indie Rock,mélancolique
Irish Metal,colère
Irish Modern Jazz,relax
Irish Neo-traditional,énergique
Irish Pop,joyeux
Irish Pub Song,énergique
Irish Rebel Song,énergique
Irish Rock,mélancolique
Irish Singer-songwriter,énergique
Irish Techno,énergique
Irish Trap,confiant
Irish Underground Rap,confiant
Iskelma,énergique
Islamic Recitation,énergique
Isle Of Man Indie,mélancolique
Isle Of Wight Indie,mélancolique
Israeli Classical,calme
Israeli Classical Piano,calme
Israeli Folk,mélancolique
Israeli Hip Hop,confiant
Israeli Indie,mélancolique
Israeli Jazz,relax
Israeli Mediterranean,énergique
Israeli Metal,colère
Israeli Pop,joyeux
Israeli Punk,colère
Israeli Rock,mélancolique
Israeli Singer-songwriter,énergique
Israeli Techno,énergique
Israeli Traditional,énergique
Israeli Trap,confiant
Israelite Hip Hop,confiant
Italian Adult Pop,joyeux
Italian Alternative,énergique
Italian Baritone,énergique
Italian Baroque,calme
Italian Baroque Ensemble,calme
Italian Bass,énergique
Italian Black Metal,sombre
Italian Blues,triste
Italian Choir,énergique
Italian Classical Guitar,calme
Italian Classical Piano,calme
Italian Contemporary Classical,calme
Italian Contemporary Jazz,relax
Italian Death Metal,sombre
Italian Disco,festif
Italian Doom Metal,sombre
Italian Electronica,énergique
Italian Emo,triste
Italian Experimental,énergique
Italian Folk,mélancolique
Italian Folk Metal,colère
Italian Gothic,sombre
Italian Gothic Metal,sombre
Italian Hardcore,colère
Italian Heavy Metal,colère
Italian Hip Hop,confiant
Italian Indie Pop,mélancolique
Italian Industrial,sombre
Italian Jazz,relax
Italian Jazz Fusion,relax
Italian Library Music,énergique
Italian Lounge,relax
Italian Mandolin,énergique
Italian Metal,colère
Italian Metalcore,colère
Italian Mezzo-soprano,énergique
Italian Modern Prog,énergique
Italian New Wave,énergique
Italian Occult Psychedelia,sombre
Italian Opera,énergique
Italian Orchestra,énergique
Italian Pop,joyeux
Italian Pop Punk,colère
Italian Pop Rock,mélancolique
Italian Post Punk,colère
Italian Post-hardcore,colère
Italian Post-rock,mélancolique
Italian Power Metal,épique
Italian Progressive Metal,inspirant
Italian Progressive Rock,inspirant
Italian Punk,colère
Italian Reggae,relax
Italian Renaissance,énergique
Italian Rockabilly,mélancolique
Italian Romanticism,énergique
Italian Ska,relax
Italian Soprano,énergique
Italian Soundtrack,épique
Italian Stoner Rock,mélancolique
Italian Tech House,énergique
Italian Techno,énergique
Italian Tenor,énergique
Italian Trance,énergique
Italian Underground Hip Hop,confiant
Italian Violin,énergique
Italo Beats,énergique
Italo Dance,festif
Italo House,énergique
Italogaze,énergique
Izvorna Muzika,énergique
J-acoustic,calme
J-ambient,calme
J-core,colère
J-division,énergique
J-idol,énergique
J-indie,mélancolique
J-metal,colère
J-pixie,énergique
J-pop,joyeux
J-pop Boy Group,joyeux
J-pop Girl Group,joyeux
J-poprock,mélancolique
J-punk,colère
J-rap,confiant
J-reggae,relax
J-rock,mélancolique
Jackin’ House,énergique
Jacksonville Indie,mélancolique
Jain Bhajan,énergique
Jalsat,énergique
Jam Band,énergique
Jamaican Dancehall,festif
Jamaican Hip Hop,confiant
Jamaican Ska,relax
Jamgrass,énergique
Jamtronica,énergique
Jangle Pop,joyeux
Jangle Rock,mélancolique
Japanese Alternative Pop,joyeux
Japanese Alternative Rock,mélancolique
Japanese Beats,énergique
Japanese Bedroom Pop,sensuel
Japanese Black Metal,sombre
Japanese Blues,triste
Japanese Boom Bap,énergique
Japanese Buddhist Chant,énergique
Japanese Celtic,énergique
Japanese Chill Rap,relax
Japanese Chillhop,relax
Japanese Choir,énergique
Japanese Classical,calme
Japanese Classical Performance,calme
Japanese Classical Piano,calme
Japanese Concert Band,énergique
Japanese Contemporary Classical,calme
Japanese Dance Pop,festif
Japanese Death Metal,sombre
Japanese Disney,énergique
Japanese Dream Pop,mélancolique
Japanese Drill,confiant
Japanese Dub,relax
Japanese Edm,énergique
Japanese Electronic,énergique
Japanese Electropop,joyeux
Japanese Emo,triste
Japanese Experimental,énergique
Japanese Folk,mélancolique
Japanese Garage Rock,mélancolique
Japanese Girl Punk,colère
Japanese Guitar,énergique
Japanese Hardcore,colère
Japanese Heavy Metal,colère
Japanese House,énergique
Japanese Hyperpop,joyeux
Japanese Idm,énergique
Japanese Indie Folk,mélancolique
Japanese Indie Pop,mélancolique
Japanese Indie Rock,mélancolique
Japanese Instrumental,énergique
Japanese Jazz,relax
Japanese Jazz Fusion,relax
Japanese Jazztronica,relax
Japanese Math Rock,mélancolique
Japanese Melodic Hardcore,colère
Japanese Melodic Punk,colère
Japanese Metalcore,colère
Japanese New Wave,énergique
Japanese Old School Hip Hop,confiant
Japanese Orchestra,énergique
Japanese Piano,calme
Japanese Pop Punk,colère
Japanese Pop Rap,joyeux
Japanese Post-hardcore,colère
Japanese Post-punk,colère
Japanese Post-rock,mélancolique
Japanese Power Metal,épique
Japanese Prog,énergique
Japanese Progressive House,inspirant
Japanese Psychedelic,énergique
Japanese Psychedelic Rock,mélancolique
Japanese Punk Rock,colère
Japanese R&b,énergique
Japanese Rockabilly,mélancolique
Japanese Screamo,colère
Japanese Shoegaze,mélancolique
Japanese Singer-songwriter,énergique
Japanese Ska,relax
Japanese Soul,sensuel
Japanese Soundtrack,épique
Japanese Techno,énergique
Japanese Teen Pop,joyeux
Japanese Traditional,énergique
Japanese Trap,confiant
Japanese Underground Rap,confiant
Japanese Vgm,énergique
Japanese Viral Pop,joyeux
Japanese Vocal Jazz,relax
Japanese Vtuber,énergique
Japanese Worship,énergique
Japanoise,énergique
Javanese Dangdut,énergique
Javanese Gamelan,énergique
Jaw Harp,énergique
Jawaiian,énergique
Jazz,relax
Jazz Accordion,relax
Jazz Blues,triste
Jazz Boom Bap,relax
Jazz Brass,relax
Jazz Caraibes,relax
Jazz Catala,relax
Jazz Chileno,relax
Jazz Clarinet,relax
Jazz Colombiano,relax
Jazz Composition,relax
Jazz Cover,relax
Jazz Cubano,relax
Jazz Dominicano,relax
Jazz Double Bass,relax
Jazz Drums,relax
Jazz Flute,relax
Jazz Funk,festif
Jazz Fusion,relax
Jazz Guitar,relax
Jazz Guitar Trio,relax
Jazz Harp,relax
Jazz House,énergique
Jazz Metal,colère
Jazz Mexicano,relax
Jazz Orchestra,relax
Jazz Organ,relax
Jazz Piano,calme
Jazz Pop,joyeux
Jazz Puertorriqueno,relax
Jazz Quartet,relax
Jazz Rap,confiant
Jazz Rock,mélancolique
Jazz Saxophone,relax
Jazz Tico,relax
Jazz Trio,relax
Jazz Trombone,relax
Jazz Trumpet,relax
Jazz Tuba,relax
Jazz Venezolano,relax
Jazz Vibraphone,confiant
Jazz Violin,relax
Jazz Worship,relax
Jazzcore,colère
Jazztronica,relax
Jazzy Dnb,énergique
Jersey Club,énergique
Jesus Movement,énergique
Jewish A Capella,énergique
Jewish Cantorial,énergique
Jewish Hip Hop,confiant
Jewish Pop,joyeux
Jig And Reel,énergique
Jirai Kei,mystérieux
Jordanian Pop,joyeux
Joropo,énergique
Josei Rap,confiant
Joseon Pop,joyeux
Jota Aragonesa,énergique
Jovem Guarda,énergique
Judaica,énergique
Jug Band,énergique
Jugendchor,énergique
Juju,énergique
Jump Blues,triste
Jump Up,énergique
Jumpstyle,énergique
Jumptek,énergique
Jungle,énergique
Junior Eurovision,énergique
Junior Songfestival,énergique
K-indie,mélancolique
K-pop,joyeux
K-pop Boy Group,joyeux
K-pop Girl Group,joyeux
K-pop Reality Show,joyeux
K-rap,confiant
K-rock,mélancolique
Kaba Gaida,énergique
Kabarett,énergique
Kabyle,énergique
Kabyle Moderne,énergique
Kadongo Kamu,énergique
Kalmar Indie,mélancolique
Kamba Pop,joyeux
Kamen Rider,énergique
Kaneka,énergique
Kannada Bhava Geethe,énergique
Kannada Hip Hop,confiant
Kannada Pop,joyeux
Kansai Indie,mélancolique
Kansas City Hip Hop,confiant
Kansas Hip Hop,confiant
Kansas Indie,mélancolique
Kantele,énergique
Kapa Haka,énergique
Karadeniz Halk Muzigi,énergique
Karadeniz Pop,joyeux
Karadeniz Turkuleri,énergique
Karaoke,énergique
Karelian Folk,mélancolique
Karneval,énergique
Karntner Volksmusik,énergique
Kaseko,énergique
Kashmiri Hip Hop,confiant
Kashmiri Pop,joyeux
Kasi Rap,confiant
Kavkaz,énergique
Kawaii Edm,énergique
Kawaii Future Bass,énergique
Kawaii Metal,colère
Kayokyoku,énergique
Kazakh Hip Hop,confiant
Kazakh Indie,mélancolique
Kazakh Pop,joyeux
Kazakh Traditional,énergique
Kc Indie,mélancolique
Kelowna Bc Indie,mélancolique
Kent Indie,mélancolique
Kentucky Hip Hop,confiant
Kentucky Indie,mélancolique
Kentucky Metal,colère
Kentucky Mountain Folk,mélancolique
Kentucky Punk,colère
Kentucky Roots,énergique
Kenyan Alternative,énergique
Kenyan Drill,confiant
Kenyan Hip Hop,confiant
Kenyan Pop,joyeux
Kenyan Traditional,énergique
Kerkkoor,énergique
Kermis,énergique
Keroncong,énergique
Khaleeji Iraqi,énergique
Khaliji,énergique
Khayal,énergique
Khmer,énergique
Khmer Hip Hop,confiant
Kids Dance Party,festif
Kids Hip Hop,confiant
Kikuyu Gospel,inspirant
Kikuyu Pop,joyeux
Kinderchor,énergique
Kinderliedjies,énergique
Kindermusik,énergique
Kindie Rock,mélancolique
King Of Prism,énergique
Kingston On Indie,mélancolique
Kirtan,énergique
Kiwi Rock,mélancolique
Kizomba,sensuel
Kizomba Antigas,sensuel
Kizomba Cabo-verdiana,sensuel
Klapa,énergique
Kleine Hoerspiel,énergique
Kleinkunst,énergique
Klezmer,énergique
Klubowe,énergique
Knoxville Indie,mélancolique
Kodomo No Ongaku,énergique
Koledy,énergique
Koligeet,énergique
Kolkata Indie,mélancolique
Kollywood,énergique
Kolsche Karneval,énergique
Komedi,énergique
Kompa,festif
Kompa Chretien,festif
Kompa Gouyad,festif
Konkani Pop,joyeux
Kora,énergique
Korean City Pop,joyeux
Korean Classical Performance,calme
Korean Classical Piano,calme
Korean Contemporary Classical,calme
Korean Dream Pop,mélancolique
Korean Electronic,énergique
Korean Electropop,joyeux
Korean Experimental,énergique
Korean Hardcore,colère
Korean Hyperpop,joyeux
Korean Indie Folk,mélancolique
Korean Indie Rock,mélancolique
Korean Instrumental,énergique
Korean Jazz,relax
Korean Mask Singer,énergique
Korean Metal,colère
Korean Old School Hip Hop,confiant
Korean Ost,énergique
Korean Phantom Singer,énergique
Korean Pop,joyeux
Korean Punk,colère
Korean R&b,énergique
Korean Shoegaze,mélancolique
Korean Singer-songwriter,énergique
Korean Soundtrack,épique
Korean Superband,énergique
Korean Talent Show,énergique
Korean Traditional,énergique
Korean Trap,confiant
Korean Underground Rap,confiant
Korean Worship,énergique
Kosovan Folk,mélancolique
Kosovan Indie,mélancolique
Kosovan Pop,joyeux
Koto,énergique
Krajiska Muzika,relax
Krautrock,mélancolique
Kritika,énergique
Kuduro,énergique
Kuduro Antigo,énergique
Kumauni Pop,joyeux
Kundalini,énergique
Kundiman,énergique
Kurdish Folk,mélancolique
Kurdish Hip Hop,confiant
Kurdish Pop,joyeux
Kurdish Rock,mélancolique
Kwaito,énergique
Kyrgyz Hip Hop,confiant
Kyrgyz Pop,joyeux
Kyrgyz Traditional,énergique
Kyushu Indie,mélancolique
La Indie,mélancolique
La Pop,joyeux
Laboratorio,énergique
Ladakhi Pop,joyeux
Lafayette Indie,mélancolique
Lagu Aceh,énergique
Lagu Bali,énergique
Lagu Betawi,énergique
Lagu Bugis,énergique
Lagu Iban,énergique
Lagu Jambi,énergique
Lagu Jawa,énergique
Lagu Karo,énergique
Lagu Lampung,énergique
Lagu Madura,énergique
Lagu Maluku,énergique
Lagu Manado,énergique
Lagu Melayu,énergique
Lagu Sabahan,énergique
Lagu Sasak,énergique
Lagu Sunda,énergique
Lagu Tarling,énergique
Lagu Timur,énergique
Lai Hla,énergique
Laiko,énergique
Lampung Indie,mélancolique
Lancashire Indie,mélancolique
Lancaster Pa Indie,mélancolique
Landler,énergique
Language,énergique
Lao Hip Hop,confiant
Lao Pop,joyeux
Lao Traditional,énergique
Lapland Hip Hop,confiant
Lapland Metal,colère
Lastelaulud,énergique
Lasten Satuja,énergique
Lata,énergique
Late Romantic Era,calme
Latin,énergique
Latin Afrobeat,festif
Latin Alternative,énergique
Latin American Baroque,calme
Latin American Classical Piano,calme
Latin American Heavy Psych,énergique
Latin Arena Pop,joyeux
Latin Christian,inspirant
Latin Classical,calme
Latin Funk,festif
Latin Hip Hop,confiant
Latin House,énergique
Latin Jazz,relax
Latin Metal,colère
Latin Pop,joyeux
Latin Rock,mélancolique
Latin Shoegaze,mélancolique
Latin Ska,relax
Latin Soundtrack,épique
Latin Surf Rock,mélancolique
Latin Talent Show,énergique
Latin Tech House,énergique
Latin Viral Pop,joyeux
Latin Viral Rap,confiant
Latin Worship,énergique
Latincore,colère
Latino Comedy,énergique
Latintronica,énergique
Latinx Alternative,énergique
Latvian Electronic,énergique
Latvian Folk,mélancolique
Latvian Hip Hop,confiant
Latvian Indie,mélancolique
Latvian Metal,colère
Latvian Pop,joyeux
Latvian Rock,mélancolique
Laulaja-lauluntekija,énergique
Lawrence Ks Indie,mélancolique
Lds,énergique
Lds Instrumental,énergique
Lds Youth,énergique
Lebanese Indie,mélancolique
